番号,品目,図番,品名,列1,列2,列3
94,45TUA40974294A0S9,【R】TUA40-S9-97429-4A0,ﾊﾞｯｸﾚｽﾄﾌﾚｰﾑASSY(TUA40-S9)EG-ZN-C,,,
95,45TUA4032735500S18,【R】TUA40-S18-32735-500,ﾌﾞﾚｰｷ板(TUA40-S18),,,
96,45TUA4017029400E15,【R】TUA40-E15-17029-400,VCﾀﾝｸﾎﾙﾀﾞｰ ASSY(TUA40-E15),,,
97,雑コード,,ﾊﾞｯｸﾚｽﾄASSY　試97401-4B0,単価＠1010,,
,TUA70,,,,,
98,45TUA70111014B0,【R】TUA70-11101-4B0,ｲﾝﾅｰﾌﾚｰﾑASSY(TUA70),,,
99,45TUA7011113400S4,【R】TUA70-S4-11113-400,ｲﾝﾅｰﾌﾚｰﾑASSY(TUA70-S4)EG-ZN-C付,,,
100,45TUA7011113400S6,【R】TUA70-S6-11113-400,ｲﾝﾅｰﾌﾚｰﾑASSY(TUA70-S6),,,
101,45TUA7011115400S14,【R】TUA70-S14-11115-400,ｲﾝﾅｰﾌﾚｰﾑASSY(TUA70-S14)EG-ZN-C付,,,
102,45TUA7011201500,【R】TUA70-11201-500,ﾍﾞｰｽﾝ固定片(TUA70),,,
103,45TUA70112095A0,【R】TUA70-11209-5A0,ﾍﾞｰｽﾝ固定板(TUA70),,,
104,45TUA70116014B0,【R】TUA70-11601-4B0,ﾕﾆｯﾄﾍﾞｰｽASSY(TUA70),,,
105,45TUA7011610500,【R】TUA70-11610-500,ﾁｪｱ連結板(TUA70),,,
106,45TUA7066023500S4,【R】TUA70-S4-66023-500,シャットオフバルブ取付板(TUA70-S4),,,
107,45TUA7060120500S4,【R】TUA70-S4-60120-500,センターピットフレームカバー(TUA70-S4),,,
108,雑ｺｰﾄﾞ,,DHWS給水電磁弁取付板TUA70　12018-500,単価：12,,
,TUA20,,,,,
109,45TUA20011074A0,【R】TUA20-01107-4A0,ﾎﾞﾃﾞｨｰｻﾎﾟｰﾄASSY(TUA20)EG-ZN-C付,,,
110,45TUA20031075C0,【R】TUA20-03107-5C0,DHﾌﾚｰﾑ(TUA20)EG-ZN-C付,,,
111,45TUA2011110500,【R】TUA20-11110-500,ｲﾝﾅｰﾌﾚｰﾑ板 1(TUA20)EG-ZN-C付,,,
112,45TUA20114285A0,【R】TUA20-11428-5A0,ﾕﾆｯﾄﾌﾛﾝﾄ 板 E(TUA20)EG-ZN-C付,,,
113,45TUA2015003500,【R】TUA20-15003-500,PCB ﾎﾙﾀﾞｰ(TUA20)EG-ZN-C付,,,
114,45TUA2026313400,【R】TUA20-26313-400,運搬棒F ASSY(国内)(TUA20),,,
115,45TUA2031605500,【R】TUA20-31605-500,▲ﾁｬﾝﾈﾙﾘﾝｸ(TUA20),,,
116,45TUA2031707500,【R】TUA20-31707-500,ｽﾌﾟﾘﾝｸﾞｱｼﾞｬｽﾀｰ(TUA20),,,
117,45TUA20412054A0,【R】TUA20-41205-4A0,ﾃｰﾌﾞﾙｾﾝﾀｰ ASSY(TUA20)EG-ZN-C付,,,
